Date,HSI
2018-01-02,30515.310546875
2018-01-03,30560.94921875
2018-01-04,30736.48046875
2018-01-05,30814.640625
2018-01-08,30899.529296875
2018-01-09,31011.41015625
2018-01-10,31073.720703125
2018-01-11,31120.390625
2018-01-12,31412.5390625
2018-01-15,31338.869140625
2018-01-16,31904.75
2018-01-17,31983.41015625
2018-01-18,32121.939453125
2018-01-19,32254.890625
2018-01-22,32393.41015625
2018-01-23,32930.69921875
2018-01-24,32958.69140625
2018-01-25,32654.44921875
2018-01-26,33154.12109375
2018-01-29,32966.890625
2018-01-30,32607.2890625
2018-01-31,32887.26953125
2018-02-01,32642.08984375
2018-02-02,32601.779296875
2018-02-05,32245.220703125
2018-02-06,30595.419921875
2018-02-07,30323.19921875
2018-02-08,30451.26953125
2018-02-09,29507.419921875
2018-02-12,29459.630859375
2018-02-13,29839.529296875
2018-02-14,30515.599609375
2018-02-15,31115.4296875
2018-02-20,30873.630859375
2018-02-21,31431.890625
2018-02-22,30965.6796875
2018-02-23,31267.169921875
2018-02-26,31498.599609375
2018-02-27,31268.66015625
2018-02-28,30844.720703125
2018-03-01,31044.25
2018-03-02,30583.44921875
2018-03-05,29886.390625
2018-03-06,30510.73046875
2018-03-07,30196.919921875
2018-03-08,30654.51953125
2018-03-09,30996.2109375
2018-03-12,31594.330078125
2018-03-13,31601.44921875
2018-03-14,31435.009765625
2018-03-15,31541.099609375
2018-03-16,31501.970703125
2018-03-19,31513.759765625
2018-03-20,31549.9296875
2018-03-21,31414.51953125
2018-03-22,31071.05078125
2018-03-23,30309.2890625
2018-03-26,30548.76953125
2018-03-27,30790.830078125
2018-03-28,30022.529296875
2018-03-29,30093.380859375
2018-04-03,30180.099609375
2018-04-04,29518.689453125
2018-04-06,29844.939453125
2018-04-09,30229.580078125
2018-04-10,30728.740234375
2018-04-11,30897.7109375
2018-04-12,30831.279296875
2018-04-13,30808.380859375
2018-04-16,30315.58984375
2018-04-17,30062.75
2018-04-18,30284.25
2018-04-19,30708.439453125
2018-04-20,30418.330078125
2018-04-23,30254.400390625
2018-04-24,30636.240234375
2018-04-25,30328.150390625
2018-04-26,30007.6796875
2018-04-27,30280.669921875
2018-04-30,30808.44921875
2018-05-02,30723.880859375
2018-05-03,30313.369140625
2018-05-04,29926.5
2018-05-07,29994.259765625
2018-05-08,30402.810546875
2018-05-09,30536.140625
2018-05-10,30809.220703125
2018-05-11,31122.060546875
2018-05-14,31541.080078125
2018-05-15,31152.029296875
2018-05-16,31110.19921875
2018-05-17,30942.150390625
2018-05-18,31047.91015625
2018-05-21,31234.349609375
2018-05-23,30665.640625
2018-05-24,30760.41015625
2018-05-25,30588.0390625
2018-05-28,30792.259765625
2018-05-29,30484.580078125
2018-05-30,30056.7890625
2018-05-31,30468.560546875
2018-06-01,30492.91015625
2018-06-04,30997.98046875
2018-06-05,31093.44921875
2018-06-06,31259.099609375
2018-06-07,31512.630859375
2018-06-08,30958.2109375
2018-06-11,31063.69921875
2018-06-12,31103.060546875
2018-06-13,30725.150390625
2018-06-14,30440.169921875
2018-06-15,30309.490234375
2018-06-19,29468.150390625
2018-06-20,29696.169921875
2018-06-21,29296.05078125
2018-06-22,29338.69921875
2018-06-25,28961.390625
2018-06-26,28881.400390625
2018-06-27,28356.259765625
2018-06-28,28497.3203125
2018-06-29,28955.109375
2018-07-03,28545.5703125
2018-07-04,28241.669921875
2018-07-05,28182.08984375
2018-07-06,28315.619140625
2018-07-09,28688.5
2018-07-10,28682.25
2018-07-11,28311.689453125
2018-07-12,28480.830078125
2018-07-13,28525.439453125
2018-07-16,28539.66015625
2018-07-17,28181.6796875
2018-07-18,28117.419921875
2018-07-19,28010.859375
2018-07-20,28224.48046875
2018-07-23,28256.119140625
2018-07-24,28662.5703125
2018-07-25,28920.900390625
2018-07-26,28781.140625
2018-07-27,28804.279296875
2018-07-30,28733.130859375
2018-07-31,28583.009765625
2018-08-01,28340.740234375
2018-08-02,27714.560546875
2018-08-03,27676.3203125
2018-08-06,27819.560546875
2018-08-07,28248.880859375
2018-08-08,28359.140625
2018-08-09,28607.30078125
2018-08-10,28366.619140625
2018-08-13,27936.5703125
2018-08-14,27752.9296875
2018-08-15,27323.58984375
2018-08-16,27100.060546875
2018-08-17,27213.41015625
2018-08-20,27598.01953125
2018-08-21,27752.7890625
2018-08-22,27927.580078125
2018-08-23,27790.4609375
2018-08-24,27671.869140625
2018-08-27,28271.26953125
2018-08-28,28351.619140625
2018-08-29,28416.439453125
2018-08-30,28164.05078125
2018-08-31,27888.55078125
2018-09-03,27712.5390625
2018-09-04,27973.33984375
2018-09-05,27243.849609375
2018-09-06,26974.8203125
2018-09-07,26973.470703125
2018-09-10,26613.419921875
2018-09-11,26422.55078125
2018-09-12,26345.0390625
2018-09-13,27014.490234375
2018-09-14,27286.41015625
2018-09-17,26932.849609375
2018-09-18,27084.66015625
2018-09-19,27407.369140625
2018-09-20,27477.669921875
2018-09-21,27953.580078125
2018-09-24,27499.390625
2018-09-26,27816.869140625
2018-09-27,27715.669921875
2018-09-28,27788.51953125
2018-10-02,27126.380859375
2018-10-03,27091.259765625
2018-10-04,26623.869140625
2018-10-05,26572.5703125
2018-10-08,26202.5703125
2018-10-09,26172.91015625
2018-10-10,26193.0703125
2018-10-11,25266.369140625
2018-10-12,25801.490234375
2018-10-15,25445.060546875
2018-10-16,25462.259765625
2018-10-18,25454.55078125
2018-10-19,25561.400390625
2018-10-22,26153.150390625
2018-10-23,25346.55078125
2018-10-24,25249.779296875
2018-10-25,24994.4609375
2018-10-26,24717.630859375
2018-10-29,24812.0390625
2018-10-30,24585.529296875
2018-10-31,24979.689453125
2018-11-01,25416.0
2018-11-02,26486.349609375
2018-11-05,25934.390625
2018-11-06,26120.9609375
2018-11-07,26147.689453125
2018-11-08,26227.720703125
2018-11-09,25601.919921875
2018-11-12,25633.1796875
2018-11-13,25792.869140625
2018-11-14,25654.4296875
2018-11-15,26103.33984375
2018-11-16,26183.529296875
2018-11-19,26372.0
2018-11-20,25840.33984375
2018-11-21,25971.470703125
2018-11-22,26019.41015625
2018-11-23,25927.6796875
2018-11-26,26376.1796875
2018-11-27,26331.9609375
2018-11-28,26682.560546875
2018-11-29,26451.029296875
2018-11-30,26506.75
2018-12-03,27182.0390625
2018-12-04,27260.439453125
2018-12-05,26819.6796875
2018-12-06,26156.380859375
2018-12-07,26063.759765625
2018-12-10,25752.380859375
2018-12-11,25771.669921875
2018-12-12,26186.7109375
2018-12-13,26524.349609375
2018-12-14,26094.7890625
2018-12-17,26087.98046875
2018-12-18,25814.25
2018-12-19,25865.390625
2018-12-20,25623.529296875
2018-12-21,25753.419921875
2018-12-24,25651.380859375
2018-12-27,25478.880859375
2018-12-28,25504.19921875
2018-12-31,25845.69921875
2019-01-02,25130.349609375
2019-01-03,25064.359375
2019-01-04,25626.029296875
2019-01-07,25835.69921875
2019-01-08,25875.44921875
2019-01-09,26462.3203125
2019-01-10,26521.4296875
2019-01-11,26667.26953125
2019-01-14,26298.330078125
2019-01-15,26830.2890625
2019-01-16,26902.099609375
2019-01-17,26755.630859375
2019-01-18,27090.810546875
2019-01-21,27196.5390625
2019-01-22,27005.44921875
2019-01-23,27008.19921875
2019-01-24,27120.98046875
2019-01-25,27569.189453125
2019-01-28,27576.9609375
2019-01-29,27531.6796875
2019-01-30,27642.849609375
2019-01-31,27942.470703125
2019-02-01,27930.740234375
2019-02-04,27990.2109375
2019-02-08,27946.3203125
2019-02-11,28143.83984375
2019-02-12,28171.330078125
2019-02-13,28497.58984375
2019-02-14,28432.05078125
2019-02-15,27900.83984375
2019-02-18,28347.009765625
2019-02-19,28228.130859375
2019-02-20,28514.05078125
2019-02-21,28629.919921875
2019-02-22,28816.30078125
2019-02-25,28959.30078125
2019-02-26,28772.060546875
2019-02-27,28757.439453125
2019-02-28,28633.1796875
2019-03-01,28812.169921875
2019-03-04,28959.58984375
2019-03-05,28961.599609375
2019-03-06,29037.599609375
2019-03-07,28779.44921875
2019-03-08,28228.419921875
2019-03-11,28503.30078125
2019-03-12,28920.869140625
2019-03-13,28807.44921875
2019-03-14,28851.390625
2019-03-15,29012.259765625
2019-03-18,29409.009765625
2019-03-19,29466.279296875
2019-03-20,29320.970703125
2019-03-21,29071.560546875
2019-03-22,29113.359375
2019-03-25,28523.349609375
2019-03-26,28566.91015625
2019-03-27,28728.25
2019-03-28,28775.2109375
2019-03-29,29051.359375
2019-04-01,29562.01953125
2019-04-02,29624.669921875
2019-04-03,29986.390625
2019-04-04,29936.3203125
2019-04-08,30077.150390625
2019-04-09,30157.490234375
2019-04-10,30119.560546875
2019-04-11,29839.44921875
2019-04-12,29909.759765625
2019-04-15,29810.720703125
2019-04-16,30129.869140625
2019-04-17,30124.6796875
2019-04-18,29963.259765625
2019-04-23,29963.240234375
2019-04-24,29805.830078125
2019-04-25,29549.80078125
2019-04-26,29605.009765625
2019-04-29,29892.810546875
2019-04-30,29699.109375
2019-05-02,29944.1796875
2019-05-03,30081.55078125
2019-05-06,29209.8203125
2019-05-07,29363.01953125
2019-05-08,29003.19921875
2019-05-09,28311.0703125
2019-05-10,28550.240234375
2019-05-14,28122.01953125
2019-05-15,28268.7109375
2019-05-16,28275.0703125
2019-05-17,27946.4609375
2019-05-20,27787.609375
2019-05-21,27657.240234375
2019-05-22,27705.939453125
2019-05-23,27267.130859375
2019-05-24,27353.9296875
2019-05-27,27288.08984375
2019-05-28,27390.810546875
2019-05-29,27235.7109375
2019-05-30,27114.880859375
2019-05-31,26901.08984375
2019-06-03,26893.859375
2019-06-04,26761.51953125
2019-06-05,26895.439453125
2019-06-06,26965.279296875
2019-06-10,27578.640625
2019-06-11,27789.33984375
2019-06-12,27308.4609375
2019-06-13,27294.7109375
2019-06-14,27118.349609375
2019-06-17,27227.16015625
2019-06-18,27498.76953125
2019-06-19,28202.140625
2019-06-20,28550.4296875
2019-06-21,28473.7109375
2019-06-24,28513.0
2019-06-25,28185.98046875
2019-06-26,28221.98046875
2019-06-27,28621.419921875
2019-06-28,28542.619140625
2019-07-02,28875.560546875
2019-07-03,28855.140625
2019-07-04,28795.76953125
2019-07-05,28774.830078125
2019-07-08,28331.689453125
2019-07-09,28116.279296875
2019-07-10,28204.689453125
2019-07-11,28431.80078125
2019-07-12,28471.619140625
2019-07-15,28554.880859375
2019-07-16,28619.619140625
2019-07-17,28593.169921875
2019-07-18,28461.66015625
2019-07-19,28765.400390625
2019-07-22,28371.259765625
2019-07-23,28466.48046875
2019-07-24,28524.0390625
2019-07-25,28594.30078125
2019-07-26,28397.740234375
2019-07-29,28106.41015625
2019-07-30,28146.5
2019-07-31,27777.75
2019-08-01,27565.69921875
2019-08-02,26918.580078125
2019-08-05,26151.3203125
2019-08-06,25976.240234375
2019-08-07,25997.029296875
2019-08-08,26120.76953125
2019-08-09,25939.30078125
2019-08-12,25824.720703125
2019-08-13,25281.30078125
2019-08-14,25302.279296875
2019-08-15,25495.4609375
2019-08-16,25734.220703125
2019-08-19,26291.83984375
2019-08-20,26231.5390625
2019-08-21,26270.0390625
2019-08-22,26048.720703125
2019-08-23,26179.330078125
2019-08-26,25680.330078125
2019-08-27,25664.0703125
2019-08-28,25615.48046875
2019-08-29,25703.5
2019-08-30,25724.73046875
2019-09-02,25626.55078125
2019-09-03,25527.849609375
2019-09-04,26523.23046875
2019-09-05,26515.529296875
2019-09-06,26690.759765625
2019-09-09,26681.400390625
2019-09-10,26683.6796875
2019-09-11,27159.060546875
2019-09-12,27087.630859375
2019-09-13,27352.689453125
2019-09-16,27124.55078125
2019-09-17,26790.240234375
2019-09-18,26754.119140625
2019-09-19,26468.94921875
2019-09-20,26435.669921875
2019-09-23,26222.400390625
2019-09-24,26281.0
2019-09-25,25945.349609375
2019-09-26,26041.9296875
2019-09-27,25954.810546875
2019-09-30,26092.26953125
2019-10-02,26042.689453125
2019-10-03,26110.310546875
2019-10-04,25821.029296875
2019-10-08,25893.400390625
2019-10-09,25682.810546875
2019-10-10,25707.9296875
2019-10-11,26308.439453125
2019-10-14,26521.849609375
2019-10-15,26503.9296875
2019-10-16,26664.279296875
2019-10-17,26848.490234375
2019-10-18,26719.580078125
2019-10-21,26725.6796875
2019-10-22,26786.19921875
2019-10-23,26566.73046875
2019-10-24,26797.94921875
2019-10-25,26667.390625
2019-10-28,26891.259765625
2019-10-29,26786.759765625
2019-10-30,26667.7109375
2019-10-31,26906.720703125
2019-11-01,27100.759765625
2019-11-04,27547.30078125
2019-11-05,27683.400390625
2019-11-06,27688.640625
2019-11-07,27847.23046875
2019-11-08,27651.140625
2019-11-11,26926.55078125
2019-11-12,27065.279296875
2019-11-13,26571.4609375
2019-11-14,26323.689453125
2019-11-15,26326.66015625
2019-11-18,26681.08984375
2019-11-19,27093.80078125
2019-11-20,26889.609375
2019-11-21,26466.880859375
2019-11-22,26595.080078125
2019-11-25,26993.0390625
2019-11-26,26913.919921875
2019-11-27,26954.0
2019-11-28,26893.73046875
2019-11-29,26346.490234375
2019-12-02,26444.720703125
2019-12-03,26391.30078125
2019-12-04,26062.560546875
2019-12-05,26217.0390625
2019-12-06,26498.369140625
2019-12-09,26494.73046875
2019-12-10,26436.619140625
2019-12-11,26645.4296875
2019-12-12,26994.140625
2019-12-13,27687.759765625
2019-12-16,27508.08984375
2019-12-17,27843.7109375
2019-12-18,27884.2109375
2019-12-19,27800.490234375
2019-12-20,27871.349609375
2019-12-23,27906.41015625
2019-12-24,27864.2109375
2019-12-27,28225.419921875
2019-12-30,28319.390625
2019-12-31,28189.75
