createTime,education,salary
2020/3/16 10:58,本科,20k-40k
2020/3/16 10:46,不限,20k-35k
2020/3/16 10:45,本科,13k-20k
2020/3/16 10:20,本科,10k-20k
2020/3/16 10:33,本科,10k-18k
2020/3/16 10:11,硕士,16k-30k
2020/3/16 09:49,本科,10k-15k
2020/3/16 09:25,不限,6k-8k
2020/3/16 09:35,本科,12k-20k
2020/3/16 10:34,本科,15k-25k
2020/3/16 09:30,本科,8k-12k
2020/3/16 11:30,本科,20k-40k
2020/3/16 10:54,本科,20k-30k
2020/3/15 12:14,本科,25k-35k
2020/3/16 10:52,硕士,10k-15k
2020/3/16 10:36,本科,25k-50k
2020/3/16 11:01,本科,10k-15k
2020/3/16 11:01,本科,30k-40k
